Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;SOL5;Sum;Average;ID
Jarc;Val;OK Komenda;M10;0:14:16;1;25;*;15;25;25;25;75;25;1082
Andrejc;Lenart;OK Slovenj Gradec;M10;;;;*;25;20;20;;65;22;1063
Bačnar Tušar;Aljoša;OK Azimut;M10;;;;*;20;15;;;35;18;1122
Prezelj;Mihej;OK Azimut;M10;0:18:06;2;20;;;;;20;20;20;1006
Obid;Anže;OK Azimut;M10;;;;*;-;;15;;15;15;1004
Šuc;Tin;OK Komenda;M10;;;;*;12;;;;12;12;1123
Gaber Raj;Tejo;OK Slovenj Gradec;M10;;;;;;12;;;12;12;1106
Sedej;Žiga;OK Azimut;M10;;;;*;;*;;;0;0;925
Kerčmar;Kevin;OK Azimut;M10;;;;;;;;;0;0;1048
Serjun;Mark;OK Azimut;M10;;;;;;;;;0;0;1061
Andrejc;Aljoša;OK Slovenj Gradec;M10;;;;;;;;;0;0;1017
Cankar;Teodor;ŠOK;M10;;;;;;;;;0;0;1053
Kurtanjek;Lan;OK Azimut;M10;;;;;;;;;0;0;1134
Kölner;Anže;OK Komenda;M12;0:24:11;1;25;*;25;25;20;25;75;25;879
Kurinčič;Jakob;OK Komenda;M12;0:30:57;3;15;;;12;25;15;52;17;915
Malus;Drejc;OK Komenda;M12;0:27:18;2;20;*;20;10;8;20;50;17;895
Sedej;Rok;OK Azimut;M12;0:38:03;4;12;*;12;20;10;12;44;15;924
Šuc;Enej;OK Komenda;M12;1:05:41;8;6;*;10;15;12;6;37;12;928
Bizjak;Beno;OK Azimut;M12;;;;*;;8;15;;23;12;1055
Miheljak;Andraž;OK Slovenj Gradec;M12;0:58:46;6;8;;8;;;8;16;8;981
Nagy;Lovro;OK Polaris;M12;;;;;15;;;;15;15;1126
Novak;Nejc;OK Azimut;M12;0:41:55;5;10;*;;;;10;10;10;1075
Lenart;Vidjan;OK Slovenj Gradec;M12;1:01:15;7;7;;;;;7;7;7;998
Mlakar;Robi;OK Azimut;M12;;;;;;;;;0;0;1058
Kurtanjek;Lovro;OK Azimut;M12;mp;;;*;;;;-;0;0;1112
Golobin;Tilen;OK Komenda;M12;;;;;;;;;0;0;1127
Mlakar;Ruj David;OK Slovenj Gradec;M12;;;;;;;;;0;0;1064
Bogataj;Rok;OK Azimut;M14;;;;*;25;20;25;;70;23;766
Malus;Ožbej;OK Komenda;M14;0:46:11;1;25;*;15;10;15;25;55;18;840
Bizjak;Božo;OK Azimut;M14;;;;*;;25;20;;45;22;1007
Cokan;Jan;OK Komenda;M14;0:48:41;2;20;*;10;15;;20;45;15;897
Sedej;David;OK Azimut;M14;;;;*;20;12;12;;44;15;923
Kremžar;Florijan;OK Komenda;M14;0:52:06;3;15;*;7;6;8;15;30;10;970
Seljak;Jaka;OK Komenda;M14;;;;;8;8;10;;26;9;884
Gantar;Borut;OK Azimut;M14;;;;*;12;7;;;19;10;920
Svetec;Staš;OK Slovenj Gradec;M14;1:15:09;4;12;;;;;12;12;12;997
Česnik;Enej;OK Azimut;M14;;;;*;;;;;0;0;1080
Foški;Oskar;OK Polaris;M14;;;;;-;;;;0;0;878
Miheljak;Tevž;OK Slovenj Gradec;M14;;;;;;;;;0;0;902
Valič;Ištvan;OK Slovenj Gradec;M14;;;;;;;;;0;0;950
Seljak;Luka;OK Komenda;M16;0:32:07;1;25;25;25;25;25;25;75;25;613
Turk;Nejc;OK Komenda;M16;0:34:39;2;20;;;20;20;20;60;20;701
Gantar;Primož;OK Azimut;M16;;;;20;20;15;;;55;18;917
Zupan;Tilen;OK Komenda;M16;;;;;;12;15;;27;14;700
Žižek;Lev;OK Azimut;M16;;;;;;;;;0;0;934
Močnik;Fedja;OK Polaris;M16;;;;;;;;;0;0;654
Štifter;Matevž;OK Slovenj Gradec;M16;;;;;;;;;0;0;956
Ferenc;Martin;OK Tivoli;M16;;;;;;*;*;;0;0;975
Faganel;Vid;PD Ajdovščina;M16;;;;;;;;;0;0;1041
Cigoj;Rok;PD Ajdovščina;M16;wrongKat;;;;;;*;*;0;0;1068
Bratož;Matej;PD Ajdovščina;M16;wrongKat;;;;;;*;*;0;0;1069
Bovcon;Matija;PD Ajdovščina;M16;wrongKat;;;;;;*;*;0;0;1072
Nemeček;Gal;PD Ajdovščina;M16;wrongKat;;;;;;*;*;0;0;1073
Jevševar;Martin;OK Brežice;M18;0:37:28;1;25;25;25;20;-;25;75;25;585
Kunc;Matevž;OK Tivoli;M18;0:41:31;2;20;;;15;20;20;55;18;578
Poženel;Natan Maj;OK Komenda;M18;;;;;;25;25;;50;25;873
Hribar;Timotej;OK Brežice;M18;;;;;20;;;;20;20;823
Groff;Žiga;OK Azimut;M18;;;;;;;;;0;0;483
Obid;Aljaž;OK Azimut;M18;;;;;;;;;0;0;846
Smole;Enej;OK Polaris;M18;;;;;-;;;;0;0;471
Anderluh;Luka;OK Polaris;M18;;;;;;;;;0;0;474
Štern;Nejc;OK Slovenj Gradec;M18;;;;;;;;;0;0;1102
Eržen;Valentin;OK Azimut;M21A;;;;12;20;25;20;;65;22;386
Pust;Tomaž;OK Komenda;M21A;0:42:13;2;20;10;25;20;15;20;65;22;893
Cankar;Uroš;ŠOK;M21A;0:39:49;1;25;;15;15;25;25;65;22;1034
Obid;Marko;OK Azimut;M21A;;;;25;12;;12;;49;16;392
Gantar;Kristjan;OK Azimut;M21A;;;;20;*;*;;;20;20;918
Čufer;Stanko;PD Ajdovščina;M21A;wrongKat;;;15;;;*;*;15;15;336
Golja;Elio;OK Polaris;M21A;;;;;10;;;;10;10;664
Černe;Aljaž;OK Tivoli;M21A;;;;;8;;;;8;8;663
Čerin;Matej;OK Tivoli;M21A;;;;;7;;;;7;7;974
Knap;Franc;OK Azimut;M21A;;;;;;;;;0;0;97
Močnik;Nejc;OK Azimut;M21A;;;;;;;;;0;0;190
Kavčič;Jure;OK Komenda;M21A;;;;;;;;;0;0;901
Kmetič;Sandi;OK Polaris;M21A;;;;;;;;;0;0;67
Petrovič;Gašper;OK Polaris;M21A;;;;;;;;;0;0;71
Škarabot;Matej;OK Polaris;M21A;;;;;;;;;0;0;132
Šalamun;Jan;OK Polaris;M21A;;;;;;;;;0;0;150
Rebolj;Aljoša;OK Polaris;M21A;;;;;;;;;0;0;711
Marot;Blaž;OK Slovenj Gradec;M21A;;;;;;;;;0;0;290
Furman;Zoran;OK Slovenske Konjice;M21A;;;;;;;;;0;0;5
Pobega;Davor;OK Tivoli;M21A;wrongKat;;;;;*;*;*;0;0;1038
Kete;Ivo;PD Ajdovščina;M21A;;;;;;;*;;0;0;412
Boyadzhiev ml.;Ivan;MOK;M21A;;;;;;;;;0;0;590
Pretnar;Janez;Kamniški OK;M21A;;;;;;;;;0;0;102
Pirnat;Tomaž;OK Slovenj Gradec;M21A;;;;;;;;;0;0;1131
Kurinčič;Simon;OK Komenda;M21B;0:35:38;3;15;25;20;20;25;15;70;23;838
Šuc;Timotej;OK Komenda;M21B;0:29:54;1;25;20;15;25;10;25;70;23;946
Kenda;Klemen;OK Azimut;M21B;0:34:01;2;20;12;25;15;12;20;60;20;1
Malus;Franc;OK Komenda;M21B;0:36:39;4;12;7;12;8;20;12;44;15;904
Vidič;Matej;OK Azimut;M21B;0:46:04;5;10;15;;10;7;10;35;12;757
Jarc;Andrej;OK Komenda;M21B;mp;;;;;12;15;-;27;14;1086
Leskovšek;Gregor;OK Tivoli;M21B;1:18:22;6;8;;;7;5;8;20;7;1124
Petkovšek;Gal;OK Azimut;M21B;;;;10;;;;;10;10;370
Bizjak;Boštjan;OK Azimut;M21B;;;;4;;-;6;;10;5;1107
Drešček;Andraž;OK Azimut;M21B;;;;8;;;;;8;8;481
Bogataj;Boštjan;OK Azimut;M21B;;;;;;-;8;;8;8;765
Korelc;Andrej;OK Komenda;M21B;;;;6;;;;;6;6;756
Erznožnik;Matic;OK Azimut;M21B;;;;5;;;;;5;5;729
Kacin;Emil;OK Azimut;M21B;;;;;;;;;0;0;96
Močnik;Rok;OK Azimut;M21B;;;;;;;;;0;0;191
Knap;Črtomir;OK Azimut;M21B;;;;;;;;;0;0;198
Koprivc;Matjaž;OK Azimut;M21B;;;;;;;;;0;0;239
Nelson;Charles;OK Azimut;M21B;;;;;;;;;0;0;643
Podobnik;Primož;OK Azimut;M21B;;;;;;;;;0;0;961
Kupnik;Tomaž;OK Azimut;M21B;;;;;;;;;0;0;1118
Zavrl;Janez;OK Komenda;M21B;;;;;;;;;0;0;610
Seljak;Borut;OK Komenda;M21B;;;;;;;;;0;0;721
Smole;Juš;OK Polaris;M21B;;;;;;;;;0;0;317
Smole;Brin;OK Polaris;M21B;;;;;;;;;0;0;318
Močnik;Griša;OK Polaris;M21B;;;;;;;;;0;0;321
Močnik;Saš;OK Polaris;M21B;;;;;;;;;0;0;323
Zibelnik;Klemen;OK Polaris;M21B;;;;;;;;;0;0;1115
Andrejc;Klemen;OK Slovenj Gradec;M21B;;;;;;;;;0;0;216
Ferenc;Aleš;OK Tivoli;M21B;wrongKat;;;;;*;*;*;0;0;418
Draksler;Matjaž;ŠOK;M21B;;;;;;*;*;;0;0;144
Plavčak;Luka;ŠOK;M21B;;;;;;;;;0;0;697
Stanonik;Simon;OK Azimut;M21E;0:35:52;1;25;12;25;;;25;62;21;620
Blaž;Matic;OK Komenda;M21E;0:36:02;2;20;10;12;25;;20;57;19;520
Hvala;Gregor;OK Azimut;M21E;0:40:22;3;15;15;-;15;25;15;55;18;424
Bogataj;Mark;OK Azimut;M21E;;;;25;15;;;;40;20;677
Tušar;Peter;OK Azimut;M21E;;;;20;20;;;;40;20;419
Bogovič;Vid;OK Brežice;M21E;0:45:11;5;10;;*;20;;10;30;15;47
Zmrzlikar;Jure;OK Komenda;M21E;;;;;10;;20;;30;15;72
Petrovič;Blaž;OK Polaris;M21E;;;;;;;15;;15;15;70
Ravnikar;Žan;OK Azimut;M21E;0:43:07;4;12;;;;;12;12;12;397
Čufer;David;PD Ajdovščina;M21E;;;;;;12;;;12;12;337
Kračun;Rajko;Kamniški OK;M21E;;;;;*;10;;;10;10;133
Barrable;Nick;OK Azimut;M21E;;;;8;;;;;8;8;1120
Andrejc;Žiga;OK Slovenj Gradec;M21E;;;;7;;;;;7;7;470
Lapajne;Jošt;OK Azimut;M21E;;;;;;;;;0;0;363
Gantar;Tjaž;OK Azimut;M21E;;;;;;;;;0;0;536
Štanfel;Matjaž;OK Azimut;M21E;;;;;;;;;0;0;769
Hribar;Andraž;OK Brežice;M21E;;;;;;;;;0;0;45
Piltaver;Jaka;OK Brežice;M21E;;;;;;;;;0;0;57
Razum;Matija;OK Brežice;M21E;;;;;;;;;0;0;960
Zorman;Jernej;OK Komenda;M21E;;;;;;;;;0;0;276
Pišljar;Jaka;OK Polaris;M21E;;;;;-;;;;0;0;77
Cesar;Jaka;OK Slovenj Gradec;M21E;;;;;;;;;0;0;1043
Borštnik;Andrej;OK Tivoli;M21E;;;;;;;;;0;0;25
Arnuš;Matej;ŠOK;M21E;;;;;;;;;0;0;1116
Kokelj;Denis;Kamniški OK;M21E;;;;;;;;;0;0;436
Koštejn;Vít;OK Komenda;M21E;;;;;;;;;0;0;1129
Kölner;Blaž;OK Komenda;M35;0:33:49;1;25;*;25;25;20;25;75;25;556
Gavrilov;Igor;OK Komenda;M35;0:35:30;2;20;*;20;15;25;20;65;22;967
Jevševar;Bojan;OK Brežice;M35;0:42:10;5;10;*;15;20;;10;45;15;43
Churkin;Sergey;OK Komenda;M35;0:41:07;3;15;*;-;10;15;15;40;13;1093
