Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;Sum;Average;ID
Kurinčič;Jakob;OK Komenda;M10;0:09:02;1;25;15;20;25;45;22;915
Sedej;David;OK Azimut;M10;0:09:52;2;20;20;7;20;40;20;923
Foški;Oskar;OK Polaris;M10;0:11:11;4;12;8;25;12;37;18;878
Kölner;Anže;OK Komenda;M10;0:12:05;6;8;25;12;8;37;18;879
Ferenc;Martin;OK Tivoli;M10;0:09:53;3;15;12;10;15;27;14;975
Malus;Ožbej;OK Komenda;M10;0:19:25;8;6;10;15;6;25;12;840
Malus;Drejc;OK Komenda;M10;0:11:11;4;12;7;-;12;19;10;895
Šuc;Enej;OK Komenda;M10;0:13:51;7;7;-;8;7;15;8;928
Valič;Ištvan;OK Slovenj Gradec;M10;;;;6;;;6;6;950
Cvelbar;Luka;OK Azimut;M10;;;;;;;0;0;﻿922
Kacin;Rok;OK Azimut;M10;;;;*;;;0;0;977
Bizjak;Izak;OK Azimut;M10;;;;;;;0;0;978
Kremžar;Florijan;OK Komenda;M10;;;;;;;0;0;970
Sedej;Rok;OK Azimut;M10;;;;;;;0;0;924
Bogataj;Rok;OK Azimut;M12;0:14:14;1;25;25;20;25;50;25;766
Seljak;Luka;OK Komenda;M12;0:15:06;2;20;20;25;20;45;22;613
Škvarča;Aljaž;OK Azimut;M12;0:15:48;3;15;;12;15;27;14;971
Cokan;Jan;OK Komenda;M12;0:15:54;4;12;15;-;12;27;14;897
Trunk;Nejc;OK Komenda;M12;0:23:38;6;8;10;15;8;25;12;839
Jerebič;Simon Erik;OK Komenda;M12;0:26:31;8;6;12;;6;18;9;976
Žižek;Lev;OK Azimut;M12;0:22:55;5;10;;;10;10;10;934
Gantar;Borut;OK Azimut;M12;0:24:40;7;7;-;;7;7;7;920
Leban;Domen;OK Azimut;M12;;;;;;;0;0;824
Mar;Aljaž;OK Azimut;M12;;;;;;;0;0;972
Seljak;Jaka;OK Komenda;M12;wrongKat;;;*;*;*;0;0;884
Štifter;Matevž;OK Slovenj Gradec;M12;;;;;;;0;0;956
Kepic;Lara;Kamniški OK;M12;;;;;;;0;0;815
Čuk;Jonatan;OK Azimut;M12;;;;;;;0;0;980
Gnezda;Žan;OK Azimut;M12;;;;;;;0;0;849
Salopek;Tihon;OK Azimut;M14;;;;25;25;;50;25;833
Turk;Nejc;OK Komenda;M14;0:15:36;1;25;20;15;25;45;22;701
Jevševar;Martin;OK Brežice;M14;;;;12;20;;32;16;585
Kern;Rok;OK Komenda;M14;0:20:48;3;15;10;12;15;27;14;648
Kunc;Matevž;OK Tivoli;M14;0:18:51;2;20;;;20;20;20;578
Zupan;Tilen;OK Komenda;M14;0:21:32;4;12;8;8;12;20;10;700
Hribar;Timotej;OK Brežice;M14;;;;7;10;;17;8;823
Čelik;Aljaž;OK Azimut;M14;;;;15;;;15;15;736
Gantar;Primož;OK Azimut;M14;0:26:36;5;10;-;;10;10;10;917
Groff;Žiga;OK Azimut;M14;wrongKat;;;;;*;0;0;483
Katarič;Tit;OK Azimut;M14;;;;;;;0;0;845
Anderluh;Luka;OK Polaris;M14;;;;-;;;0;0;474
Močnik;Fedja;OK Polaris;M14;;;;;;;0;0;654
Bratož;Jani;PD Ajdovščina;M14;;;;-;;;0;0;773
Krkoč;Janoš;PD Ajdovščina;M14;;;;;;;0;0;787
Samec;Andraž;PD Ajdovščina;M14;;;;;;;0;0;807
Kavčič;Valentin;OK Azimut;M14;;;;;;;0;0;788
Felc;Tomi;OK Azimut;M14;;;;;;;0;0;932
Mrak;Samuel;OK Azimut;M14;;;;;;;0;0;985
Kavčič;Domen;OK Komenda;M16;0:25:38;1;25;25;;25;50;25;652
Poženel;Natan Maj;PD Tolmin;M16;0:26:10;2;20;15;25;20;45;22;873
Kavčič;Julijan;OK Azimut;M16;;;;20;;;20;20;731
Luznar;Aljaž;OK Azimut;M16;0:44:52;6;8;12;;8;20;10;966
Domnik;Nejc;OK Azimut;M16;0:32:08;3;15;;;15;15;15;779
Žurbi;Domen;OK Komenda;M16;0:32:50;4;12;;;12;12;12;688
Logar;Enej;OK Azimut;M16;0:40:45;5;10;;;10;10;10;872
Smole;Enej;OK Polaris;M16;1:05:16;7;7;;-;7;7;7;471
Obid;Aljaž;OK Azimut;M16;;;;-;-;;0;0;846
Brus;Jakob;OK Azimut;M16;;;;;;;0;0;848
Jamšek;Benjamin;OK Azimut;M16;;;;;;;0;0;907
Pestotnik Stres;Svit;OK Polaris;M16;;;;;;;0;0;706
Trajbarič;Martin;OK Tivoli;M16;;;;;-;;0;0;926
Keresteš;Vid;OK Trzin;M16;;;;;;;0;0;586
Krkoč;Urban;PD Ajdovščina;M16;;;;;;;0;0;724
Gregorič;Nik;PD Ajdovščina;M16;;;;;;;0;0;725
Žvanut;Tilen;PD Ajdovščina;M16;;;;;;;0;0;812
Vetrih;Samo;PD Ajdovščina;M16;;;;;;;0;0;899
Tozan;Uroš;PD Ajdovščina;M16;;;;-;;;0;0;903
Mavri;Blaž;OK Azimut;M16;;;;;;;0;0;986
Kavčič;Jure;OK Komenda;M18;0:47:40;2;20;15;25;20;45;22;901
